N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	116.68	116.68	48.2199996709824	26.8999993801117	21.1799994111061	ENST00000379802_141	[201 - 8954] cdna:known chromosome:GRCh37:6:7541808:7586950:1 gene:ENSG00000096696 gene_biotype:protein_coding transcript_biotype:protein_coding	141	56					
1	0	116.68	48.1400012969971	27.3400008678436	21.5299993753433	sp|P15924|DESP_HUMAN	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	HUMAN	56					
2	107.58	107.58	88.4599983692169	85.5799973011017	83.1700026988983	sp|P02812|PRB2_HUMAN	Basic salivary proline-rich protein 2 OS=Homo sapiens GN=PRB2 PE=1 SV=3	HUMAN	76					
3	95.3	95.3	84.3999981880188	71.6300010681152	66.1300003528595	sp|P02538|K2C6A_HUMAN	Keratin, type II cytoskeletal 6A OS=Homo sapiens GN=KRT6A PE=1 SV=3	HUMAN	94					
3	0	95.3	81.0899972915649	68.8199996948242	63.5399997234344	ENST00000330722_18	[1 - 1761] cdna:known chromosome:GRCh37:12:52880958:52887041:-1 gene:ENSG00000205420 gene_biotype:protein_coding transcript_biotype:protein_coding	18	94					
4	85.81	90.32	83.1499993801117	71.7199981212616	70.4100012779236	sp|P19013|K2C4_HUMAN	Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4	HUMAN	84					
4	0.05	89.48	76.4500021934509	63.8499975204468	62.6900017261505	ENST00000551956_35	[245 - 2053] cdna:known chromosome:GRCh37:12:53200333:53208335:-1 gene:ENSG00000170477 gene_biotype:protein_coding transcript_biotype:protein_coding	35	84					
5	79.59	79.59	83.1399977207184	66.2800014019012	61.2399995326996	ENST00000370083_32	[206 - 1753] cdna:known chromosome:GRCh37:1:104198377:104207173:1 gene:ENSG00000237763 gene_biotype:protein_coding transcript_biotype:protein_coding	32	125					
5	0	79.59	80.0400018692017	66.9300019741058	61.8399977684021	sp|P04745|AMY1_HUMAN	Alpha-amylase 1 OS=Homo sapiens GN=AMY1A PE=1 SV=2	HUMAN	125					
6	72.45	72.45	52.1099984645844	21.3100001215935	15.3699994087219	sp|Q09666|AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	HUMAN	34					
6	0	72.45	51.910001039505	21.2300002574921	15.3099998831749	ENST00000378024_293	[210 - 17945] cdna:known chromosome:GRCh37:11:62283377:62314307:-1 gene:ENSG00000124942 gene_biotype:protein_coding transcript_biotype:protein_coding	293	34					
7	67.44	82.89	84.2100024223328	63.1600022315979	60.0600004196167	ENST00000252244_30	[54 - 1991] cdna:known chromosome:GRCh37:12:53068520:53074191:-1 gene:ENSG00000167768 gene_biotype:protein_coding transcript_biotype:protein_coding	30	67					
7	0	82.89	83.0699980258942	63.3499979972839	60.2500021457672	sp|P04264|K2C1_HUMAN	Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6	HUMAN	67					
8	60.21	60.21	82.3099970817566	71.399998664856	66.5899991989136	sp|P13646|K1C13_HUMAN	Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4	HUMAN	81					
9	59.72	59.72	60.6400012969971	54.6199977397919	54.6199977397919	ENST00000536668_16	[327 - 1073] cdna:known chromosome:GRCh37:12:10998448:11324197:-1 gene:ENSG00000111215 gene_biotype:protein_coding transcript_biotype:processed_transcript	16	44					
9	0	59.72	81.92999958992	81.92999958992	81.92999958992	sp|P02810|PRPC_HUMAN	Salivary acidic proline-rich phosphoprotein 1/2 OS=Homo sapiens GN=PRH1 PE=1 SV=2	HUMAN	44					
10	57.34	57.34	48.1499999761581	23.3500003814697	16.8500006198883	ENST00000345988_72	[1 - 5358] cdna:known chromosome:GRCh37:16:4932508:4987136:-1 gene:ENSG00000118898 gene_biotype:protein_coding transcript_biotype:protein_coding	72	26					
10	0	57.34	47.3800003528595	23.7499997019768	17.1399995684624	sp|O60437|PEPL_HUMAN	Periplakin OS=Homo sapiens GN=PPL PE=1 SV=4	HUMAN	26					
10	0	56.04	47.4900007247925	23.1499999761581	17.1599999070168	tr|K7EKI8|K7EKI8_HUMAN	Periplakin OS=Homo sapiens GN=PPL PE=1 SV=1	HUMAN	26					
11	54.65	69.72	83.2000017166138	62.0999991893768	57.6300024986267	ENST00000332411_21	[22 - 1968] cdna:known chromosome:GRCh37:12:53161939:53171129:-1 gene:ENSG00000185069 gene_biotype:protein_coding transcript_biotype:protein_coding	21	42					
11	0	69.72	82.7600002288818	63.1699979305267	58.6199998855591	sp|Q01546|K22O_HUMAN	Keratin, type II cytoskeletal 2 oral OS=Homo sapiens GN=KRT76 PE=1 SV=2	HUMAN	42					
12	53.36	57.16	83.3000004291534	70.3999996185303	63.6399984359741	sp|P08779|K1C16_HUMAN	Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4	HUMAN	53					
12	0	57.16	79.7599971294403	67.4099981784821	60.9300017356873	ENST00000301653_19	[3 - 1484] cdna:known chromosome:GRCh37:17:39766030:39769005:-1 gene:ENSG00000186832 gene_biotype:protein_coding transcript_biotype:protein_coding	19	53					
13	51.81	51.81	43.7000006437302	20.0599998235703	16.7199999094009	ENST00000301607_70	[162 - 6353] cdna:known chromosome:GRCh37:17:74002926:74023533:-1 gene:ENSG00000167880 gene_biotype:protein_coding transcript_biotype:protein_coding	70	26					
13	0	51.81	43.4300005435944	20.3600004315376	16.9699996709824	sp|Q92817|EVPL_HUMAN	Envoplakin OS=Homo sapiens GN=EVPL PE=1 SV=3	HUMAN	26					
13	0	50.1	44.0400004386902	18.8800007104874	15.5200004577637	tr|K7EKI0|K7EKI0_HUMAN	Envoplakin OS=Homo sapiens GN=EVPL PE=1 SV=1	HUMAN	25					
14	42.94	62.64	67.9199993610382	57.8999996185303	54.1499972343445	sp|P35908|K22E_HUMAN	Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2	HUMAN	37					
14	0	62.64	67.1800017356873	57.2799980640411	53.5600006580353	ENST00000309680_26	[2 - 1939] cdna:known chromosome:GRCh37:12:53038342:53045948:-1 gene:ENSG00000172867 gene_biotype:protein_coding transcript_biotype:protein_coding	26	37					
14	0	60.64	67.2900021076202	54.8799991607666	51.1600017547607	sp|K22E_HUMAN			36					
15	42.81	42.81	52.0900011062622	43.2900011539459	41.9900000095367	sp|Q08188|TGM3_HUMAN	Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens GN=TGM3 PE=1 SV=4	HUMAN	30					
15	0	42.81	50.5599975585938	42.0199990272522	40.7599985599518	ENST00000381458_31	[1 - 2142] cdna:known chromosome:GRCh37:20:2276647:2321724:1 gene:ENSG00000125780 gene_biotype:protein_coding transcript_biotype:protein_coding	31	30					
16	42.4	52.12	65.0699973106384	42.9800003767014	35.1000010967255	sp|P13645|K1C10_HUMAN	Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6	HUMAN	37					
16	0	52.12	64.740002155304	42.7599996328354	34.9200010299683	ENST00000269576_18	[2 - 1762] cdna:known chromosome:GRCh37:17:38974369:38978847:-1 gene:ENSG00000186395 gene_biotype:protein_coding transcript_biotype:protein_coding	18	37					
16	0	52.12	59.8699986934662	42.3299998044968	34.5699995756149	sp|K1C10_HUMAN			37					
17	41.94	41.94	53.5300016403198	38.7499988079071	31.2000006437302	sp|P02768|ALBU_HUMAN	Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	HUMAN	28					
17	0	41.94	51.910001039505	37.5800013542175	30.2500009536743	ENST00000295897_29	[33 - 1916] cdna:known chromosome:GRCh37:4:74269956:74287129:1 gene:ENSG00000163631 gene_biotype:protein_coding transcript_biotype:protein_coding	29	28					
18	41.3	41.3	58.7999999523163	50	45.8299994468689	ENST00000601845_14	[2 - 1297] cdna:known chromosome:GRCh37:HG271_PATCH:79483788:79486580:-1 gene:ENSG00000267807 gene_biotype:protein_coding transcript_biotype:protein_coding	14	33					
18	0	41.3	63.4700000286102	57.5999975204468	52.7999997138977	sp|P63261|ACTG_HUMAN	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	HUMAN	33					
18	0	41.3	63.4700000286102	57.5999975204468	52.7999997138977	sp|P60709|ACTB_HUMAN	Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1	HUMAN	33					
18	0	41.3	58.3299994468689	52.9399991035461	48.5300004482269	ENST00000598366_15	[49 - 1272] cdna:known chromosome:GRCh37:HG271_PATCH:79483771:79486674:-1 gene:ENSG00000267807 gene_biotype:protein_coding transcript_biotype:protein_coding	15	33					
19	38.61	39.18	54.9399971961975	37.2599989175797	36.149999499321	ENST00000246662_29	[52 - 1935] cdna:known chromosome:GRCh37:17:39722096:39728310:-1 gene:ENSG00000171403 gene_biotype:protein_coding transcript_biotype:protein_coding	29	26					
19	0	39.18	54.5700013637543	37.5600010156631	36.4399999380112	sp|P35527|K1C9_HUMAN	Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3	HUMAN	26					
19	0	37.47	50.0800013542175	35.6299996376038	34.5099985599518	sp|K1C9_HUMAN			25					
20	37.35	37.35	68.6900019645691	58.5900008678436	56.360000371933	sp|Q9UBG3|CRNN_HUMAN	Cornulin OS=Homo sapiens GN=CRNN PE=1 SV=1	HUMAN	33					
20	0	37.35	66.6700005531311	56.8599998950958	54.7100007534027	ENST00000271835_27	[19 - 1548] cdna:known chromosome:GRCh37:1:152381719:152386739:-1 gene:ENSG00000143536 gene_biotype:protein_coding transcript_biotype:protein_coding	27	33					
21	36.11	36.11	37.7000004053116	18.1600004434586	13.9300003647804	sp|P35579|MYH9_HUMAN	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	HUMAN	22					
21	0	36.11	37.6700013875961	18.1400001049042	13.910000026226	ENST00000216181_75	[226 - 6111] cdna:known chromosome:GRCh37:22:36677327:36784063:-1 gene:ENSG00000100345 gene_biotype:protein_coding transcript_biotype:protein_coding	75	22					
22	34.05	34.05	71.9500005245209	54.5899987220764	52.2499978542328	ENST00000452271_21	[3 - 1799] cdna:novel chromosome:GRCh37:19:36014269:36019212:-1 gene:ENSG00000189001 gene_biotype:protein_coding transcript_biotype:protein_coding	21	21					
22	0	34.05	69.489997625351	55.4199993610382	53.0499994754791	sp|Q6UWP8|SBSN_HUMAN	Suprabasin OS=Homo sapiens GN=SBSN PE=2 SV=2	HUMAN	21					
23	33.74	77.3	80.2999973297119	71.2100028991699	66.6700005531311	tr|G3V1M9|G3V1M9_HUMAN	Basic peptide IB-6 OS=Homo sapiens GN=PRB1 PE=4 SV=1	HUMAN	57					
24	33.03	73.18	73.3900010585785	64.5799994468689	57.9699993133545	sp|P13647|K2C5_HUMAN	Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3	HUMAN	68					
24	0	73.18	71.9299972057343	63.289999961853	56.8099975585938	ENST00000252242_27	[356 - 2161] cdna:known chromosome:GRCh37:12:52908359:52914471:-1 gene:ENSG00000186081 gene_biotype:protein_coding transcript_biotype:protein_coding	27	68					
25	30.54	54.07	84.3200027942657	74.1500020027161	58.2599997520447	sp|P02533|K1C14_HUMAN	Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4	HUMAN	48					
25	0	54.07	79.4399976730347	69.8599994182587	54.8900008201599	ENST00000167586_20	[1 - 1503] cdna:known chromosome:GRCh37:17:39738531:39743173:-1 gene:ENSG00000186847 gene_biotype:protein_coding transcript_biotype:protein_coding	20	48					
26	30.27	30.27	39.3500000238419	16.3800001144409	13.5399997234344	sp|P20930|FILA_HUMAN	Filaggrin OS=Homo sapiens GN=FLG PE=1 SV=3	HUMAN	18					
26	0	30.27	39.2300009727478	16.329999268055	13.5000005364418	ENST00000368799_143	[1 - 12219] cdna:known chromosome:GRCh37:1:152274651:152297679:-1 gene:ENSG00000143631 gene_biotype:protein_coding transcript_biotype:protein_coding	143	18					
